timestamp,open,high,low,close,adjusted close,volume,dividend amount
2022-09-30,156.6400,164.2600,138.0000,138.2000,137.5869,2083968147,0.0000
2022-08-31,161.0100,176.1500,157.1400,157.2200,156.5225,1509735435,0.2300
2022-07-29,136.0400,163.6300,135.6600,162.5100,161.5643,1447364668,0.0000
2022-06-30,149.9000,151.7400,129.0400,136.7200,135.9244,1749297959,0.0000
2022-05-31,156.7100,166.4800,132.6100,148.8400,147.9739,2400305601,0.2300
2022-04-29,174.0300,178.4900,155.3800,157.6500,156.5038,1683547838,0.0000
2022-03-31,164.6950,179.6100,150.1000,174.6100,173.3404,2171827429,0.0000
